HRD	Telomeric AI	LST	HRD-sum
OB_15_0053.T1	17	21	28	66
OB_15_0058.T1	16	20	25	61
OB_15_0058.T3	15	28	26	69
OB_15_0067.T1	16	26	22	64
OB_15_0067.T2	5	7	7	19
OB_15_0069.T1	12	27	21	60
OB_15_0069.T3	14	25	17	56
OB_15_0074.T1	19	23	26	68
OB_15_0074.T2	15	26	30	71
OB_15_0080.T1	1	23	28	52
OB_15_0080.T2	0	9	26	35
OB_15_0107.T1	18	30	42	90
OB_15_0107.T2	21	36	29	86
OB_15_0107.T3	25	27	35	87
OB_15_0119.T1	18	25	26	69
OB_15_0139.T1	13	26	34	73
OB_15_0139.T2	0	15	31	46
OB_15_0139.T3	19	32	40	91
OB_15_0157.T1	13	32	27	72
OB_15_0157.T2	14	22	22	58
OB_15_0157.T3	15	30	27	72
OB_15_0169.T1	10	32	26	68
OB_15_0169.T2	6	25	22	53
OB_15_0170.T1	1	19	22	42
OB_15_0170.T2	2	19	25	46
OB_15_0181.T1	0	22	27	49
OB_15_0181.T2	9	6	19	34
OB_15_0190.T1	14	31	28	73
OB_15_0190.T2	14	8	22	44
OB_15_0190.T3	18	37	12	67
OB_15_0197.T1	4	31	21	56
OB_15_0197.T2	4	18	17	39
OB_15_0201.T1	9	14	30	53
OB_15_0201.T2	0	17	21	38
OB_15_0201.T3	8	7	11	26
OB_15_0202.T1	25	34	33	92
OB_15_0208.T1	3	20	24	47
OB_15_0208.T2	8	14	20	42
OB_15_0208.T3	2	3	2	7
OB_15_0234.T1	3	17	23	43
OB_15_0234.T2	11	21	29	61
OB_15_0238.T1	6	21	26	53
OB_15_0238.T2	1	19	29	49
OB_15_0243.T1	0	8	14	22
OB_15_0243.T2	6	15	20	41
OB_15_0246.T1	0	19	21	40
OB_15_0246.T2	4	17	24	45
OB_15_0251.T1	6	13	18	37
OB_15_0251.T2	0	17	19	36
OB_15_0253.T2	2	15	18	35
OB_15_0273.T1	5	21	26	52
OB_15_0273.T2	0	14	26	40
OB_15_0273.T3	8	12	25	45
OB_15_0281.T1	8	21	17	46
OB_15_0281.T2	2	14	22	38
OB_15_0286.T1	3	25	25	53
OB_15_0286.T2	1	4	20	25
OB_15_0295.T1	15	15	13	43
OB_15_0295.T2	0	11	21	32
OB_15_0298.T1	23	31	28	82
OB_15_0298.T2	2	19	28	49
